"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"748",589,2,2,5,2,4,3,2,4,1,3,0,0,0,0,4
"1350",589,2,2,5,2,4,3,2,4,1,3,1,0,0,1,3
"2551",589,2,2,5,2,4,3,2,4,1,3,1,1,1,1,3
"1148",590,1,3,5,2,3,3,2,4,2,3,1,1,0,0,4
"1549",590,1,3,5,2,3,3,2,4,2,3,1,1,0,1,3
"2752",590,1,3,5,2,3,3,2,4,2,3,1,1,1,0,4
"2951",590,1,3,5,2,3,3,2,4,2,3,1,0,1,1,4
"346",591,2,5,3,6,NA,3,3,3,3,3,0,0,0,1,3
"548",591,2,5,3,6,NA,3,3,3,3,3,0,1,0,0,3
"949",591,2,5,3,6,NA,3,3,3,3,3,1,0,0,0,3
"2352",591,2,5,3,6,NA,3,3,3,3,3,0,1,1,1,3
"549",592,1,5,5,2,3,1,4,3,1,3,0,1,0,0,4
"950",592,1,5,5,2,3,1,4,3,1,3,1,0,0,0,4
"1149",592,1,5,5,2,3,1,4,3,1,3,1,1,0,0,4
"3153",592,1,5,5,2,3,1,4,3,1,3,1,0,1,0,4
"347",593,1,6,1,2,2,2,2,4,2,5,0,0,0,1,2
"1351",593,1,6,1,2,2,2,2,4,2,5,1,0,0,1,2
"1750",593,1,6,1,2,2,2,2,4,2,5,0,1,0,1,3
"2753",593,1,6,1,2,2,2,2,4,2,5,1,1,1,0,1
"147",594,1,7,3,5,2,4,3,5,2,5,0,1,0,1,3
"1952",594,1,7,3,5,2,4,3,5,2,5,0,1,1,0,3
"2353",594,1,7,3,5,2,4,3,5,2,5,0,1,1,1,3
"2552",594,1,7,3,5,2,4,3,5,2,5,1,1,1,1,3
"951",595,1,5,5,2,5,3,3,5,2,5,1,0,0,0,4
"1550",595,1,5,5,2,5,3,3,5,2,5,1,1,0,1,3
"1751",595,1,5,5,2,5,3,3,5,2,5,0,1,0,1,3
"2952",595,1,5,5,2,5,3,3,5,2,5,1,0,1,1,3
"749",596,1,6,3,4,5,4,1,2,3,3,0,0,0,0,3
"1551",596,1,6,3,4,5,4,1,2,3,3,1,1,0,1,2
"2153",596,1,6,3,4,5,4,1,2,3,3,0,0,1,1,3
"2953",596,1,6,3,4,5,4,1,2,3,3,1,0,1,1,2
"348",597,2,4,5,2,3,2,3,5,2,3,0,0,0,1,3
"1352",597,2,4,5,2,3,2,3,5,2,3,1,0,0,1,3
