"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"1731",516,1,6,2,NA,6,2,3,2,3,3,0,1,0,1,3
"2734",516,1,6,2,NA,6,2,3,2,3,3,1,1,1,0,3
"730",517,1,6,2,2,2,3,2,5,1,5,0,0,0,0,4
"1332",517,1,6,2,2,2,3,2,5,1,5,1,0,0,1,4
"1532",517,1,6,2,2,2,3,2,5,1,5,1,1,0,1,4
"2533",517,1,6,2,2,2,3,2,5,1,5,1,1,1,1,2
"328",518,1,6,5,4,2,2,4,3,2,2,0,0,0,1,4
"2134",518,1,6,5,4,2,2,4,3,2,2,0,0,1,1,4
"2334",518,1,6,5,4,2,2,4,3,2,2,0,1,1,1,3
"2933",518,1,6,5,4,2,2,4,3,2,2,1,0,1,1,4
"129",519,1,6,2,6,NA,1,4,2,2,2,0,1,0,1,1
"1130",519,1,6,2,6,NA,1,4,2,2,2,1,1,0,0,1
"1933",519,1,6,2,6,NA,1,4,2,2,2,0,1,1,0,2
"3134",519,1,6,2,6,NA,1,4,2,2,2,1,0,1,0,2
"130",520,1,5,1,2,6,1,4,3,4,2,0,1,0,1,2
"1732",520,1,5,1,2,6,1,4,3,4,2,0,1,0,1,5
"2135",520,1,5,1,2,6,1,4,3,4,2,0,0,1,1,2
"2934",520,1,5,1,2,6,1,4,3,4,2,1,0,1,1,2
"329",521,1,6,5,1,1,2,3,3,3,2,0,0,0,1,2
"1333",521,1,6,5,1,1,2,3,3,3,2,1,0,0,1,2
"1533",521,1,6,5,1,1,2,3,3,3,2,1,1,0,1,2
"2335",521,1,6,5,1,1,2,3,3,3,2,0,1,1,1,2
"731",522,1,7,5,6,NA,3,3,3,3,4,0,0,0,0,3
"1131",522,1,7,5,6,NA,3,3,3,3,4,1,1,0,0,2
"1934",522,1,7,5,6,NA,3,3,3,3,4,0,1,1,0,3
"3135",522,1,7,5,6,NA,3,3,3,3,4,1,0,1,0,3
"531",523,2,3,5,2,3,2,3,4,4,2,0,1,0,0,3
"932",523,2,3,5,2,3,2,3,4,4,2,1,0,0,0,3
"2534",523,2,3,5,2,3,2,3,4,4,2,1,1,1,1,2
"2735",523,2,3,5,2,3,2,3,4,4,2,1,1,1,0,3
"1132",524,1,4,2,2,3,2,3,2,2,5,1,1,0,0,4
"1935",524,1,4,2,2,3,2,3,2,2,5,0,1,1,0,3
"2736",524,1,4,2,2,3,2,3,2,2,5,1,1,1,0,3
"2935",524,1,4,2,2,3,2,3,2,2,5,1,0,1,1,2
"330",525,2,5,2,6,NA,3,3,5,3,4,0,0,0,1,3
"1334",525,2,5,2,6,NA,3,3,5,3,4,1,0,0,1,3
"1733",525,2,5,2,6,NA,3,3,5,3,4,0,1,0,1,3
"2535",525,2,5,2,6,NA,3,3,5,3,4,1,1,1,1,2
"532",526,2,4,4,2,2,4,4,4,3,2,0,1,0,0,3
"732",526,2,4,4,2,2,4,4,4,3,2,0,0,0,0,3
"1534",526,2,4,4,2,2,4,4,4,3,2,1,1,0,1,2
"3136",526,2,4,4,2,2,4,4,4,3,2,1,0,1,0,3
"1535",527,1,6,5,2,2,1,2,4,2,3,1,1,0,1,2
"1734",527,1,6,5,2,2,1,2,4,2,3,0,1,0,1,4
"2136",527,1,6,5,2,2,1,2,4,2,3,0,0,1,1,2
"2737",527,1,6,5,2,2,1,2,4,2,3,1,1,1,0,4
"131",528,2,5,2,1,1,1,3,3,2,1,0,1,0,1,3
"933",528,2,5,2,1,1,1,3,3,2,1,1,0,0,0,4
"2137",528,2,5,2,1,1,1,3,3,2,1,0,0,1,1,4
"2336",528,2,5,2,1,1,1,3,3,2,1,0,1,1,1,3
"331",529,1,3,3,2,2,1,3,2,1,4,0,0,0,1,3
"1335",529,1,3,3,2,2,1,3,2,1,4,1,0,0,1,3
"2936",529,1,3,3,2,2,1,3,2,1,4,1,0,1,1,2
"3137",529,1,3,3,2,2,1,3,2,1,4,1,0,1,0,3
"132",530,2,7,2,6,NA,3,2,4,1,3,0,1,0,1,2
"934",530,2,7,2,6,NA,3,2,4,1,3,1,0,0,0,3
